Zip Code,BaseDate,3-Month,6-Month,1-Year
15219,2024-03-31,1.3,3.3,-0.7
77002,2024-03-31,0.3,0.8,0.1
33896,2024-03-31,0.5,1.2,2.5
38635,2024-03-31,0.7,1.7,1.5
45220,2024-03-31,1.3,3.3,1.5
55108,2024-03-31,1.3,3.1,-1.5
82930,2024-03-31,1.2,2.8,2.1
66207,2024-03-31,1.4,3.3,1.3
99006,2024-03-31,1.0,2.8,2.2
19056,2024-03-31,0.9,2.5,0.9
3824,2024-03-31,1.4,3.3,0.6
60429,2024-03-31,1.5,3.7,-0.5
20015,2024-03-31,0.9,1.6,-0.7
31545,2024-03-31,0.9,2.3,1.1
93636,2024-03-31,1.0,2.1,1.5
93648,2024-03-31,0.7,1.5,1.0
50211,2024-03-31,0.8,1.9,-0.5
56187,2024-03-31,0.8,2.5,0.3
38112,2024-03-31,1.0,2.5,2.1
74110,2024-03-31,1.3,3.2,2.1
2649,2024-03-31,1.1,2.9,2.8
48301,2024-03-31,1.3,3.3,0.4
61114,2024-03-31,1.3,3.7,2.1
60503,2024-03-31,1.3,3.1,-0.4
55107,2024-03-31,1.4,3.2,-1.6
17033,2024-03-31,1.0,2.4,1.0
32922,2024-03-31,0.7,1.8,2.3
75961,2024-03-31,0.8,2.1,0.1
95388,2024-03-31,1.0,2.1,1.7
18964,2024-03-31,0.8,2.3,0.9
34224,2024-03-31,0.2,1.0,2.6
40213,2024-03-31,0.8,2.0,-0.1
48202,2024-03-31,1.2,3.0,0.3
87544,2024-03-31,1.1,2.7,2.2
33616,2024-03-31,0.7,1.8,3.1
89815,2024-03-31,0.5,1.1,-0.7
59912,2024-03-31,2.2,5.1,8.0
13662,2024-03-31,0.5,3.0,0.7
76164,2024-03-31,1.0,2.5,1.3
48084,2024-03-31,1.3,3.2,0.3
11004,2024-03-31,0.2,0.6,-0.3
76707,2024-03-31,0.8,2.6,2.3
62568,2024-03-31,1.2,3.5,-1.8
2188,2024-03-31,1.3,3.1,0.6
93923,2024-03-31,1.1,2.0,1.1
32641,2024-03-31,1.1,2.9,2.3
97459,2024-03-31,0.9,2.3,1.4
97232,2024-03-31,1.1,2.2,-0.6
2771,2024-03-31,1.1,2.9,1.8
13676,2024-03-31,0.5,2.8,0.6
15229,2024-03-31,1.1,2.9,-0.6
24201,2024-03-31,1.1,3.0,2.9
34474,2024-03-31,0.4,1.0,3.1
78580,2024-03-31,0.7,1.7,-5.8
17557,2024-03-31,0.8,2.0,1.0
20882,2024-03-31,0.8,1.5,-0.6
2332,2024-03-31,1.3,3.2,0.6
6070,2024-03-31,1.4,3.7,2.5
52002,2024-03-31,0.9,2.7,-0.1
32310,2024-03-31,1.0,2.4,1.3
32222,2024-03-31,0.7,1.8,2.0
30110,2024-03-31,0.8,2.0,2.3
75203,2024-03-31,1.1,2.6,1.4
24739,2024-03-31,0.9,2.5,1.9
48034,2024-03-31,1.2,3.1,0.3
55374,2024-03-31,1.1,2.7,-1.3
46303,2024-03-31,1.1,2.8,-0.4
55344,2024-03-31,1.1,2.6,-1.3
7066,2024-03-31,0.6,1.6,-0.9
62966,2024-03-31,0.8,2.1,-2.3
93950,2024-03-31,1.0,1.9,1.0
32534,2024-03-31,0.8,2.0,2.6
